Date,Balanced Advantage Category,Corporate Bond Category,Liquid Category,US Equity FOF Category,Large Cap Category,Small Cap Category,Mid Cap Category,Flexi Cap Category,Aggressive Hybrid Category
2018-08-30,145.153,27.64,766.4677,62.152,121.708,316.76,5330.1699,196.0107,2660.0097
2018-08-31,145.157,27.68,769.1852,62.211,121.9,316.39,5345.1689,196.2061,2660.124
2018-09-03,145.1981,27.64,769.1929,63.397,120.765,318.54,5311.0205,195.4403,2659.0543
2018-09-04,145.091,27.0,769.1929,63.375,120.421,306.86,5147.2793,193.1767,2657.2168
2018-09-05,145.064,26.79,769.1929,63.469,119.897,304.03,5139.4302,192.1727,2656.8502
2018-09-06,145.0798,26.95,769.1929,63.8,120.28,306.71,5154.7788,192.9006,2657.3346
2018-09-07,145.1503,27.14,769.1929,63.909,121.059,310.0,5233.6245,193.6995,2658.0095
2018-09-10,145.0029,26.91,769.1929,63.253,119.649,305.0,5119.8809,192.2047,2656.5698
2018-09-11,144.9724,26.57,769.1929,62.864,117.947,300.18,5051.8345,190.8771,2654.7212
2018-09-12,144.9921,26.44,769.1929,62.437,118.748,300.69,5083.3828,191.1077,2655.3745
2018-09-14,145.0718,26.86,769.1929,63.178,120.021,306.04,5182.7773,192.356,2657.2069
2018-09-17,145.1591,26.83,769.1929,63.939,118.961,303.45,5153.5288,191.4593,2655.8316
2018-09-18,145.1769,26.65,769.1852,63.756,117.973,299.33,5076.7329,190.1524,2654.5375
2018-09-19,145.2511,27.19,769.1929,63.547,117.61,297.82,5042.8848,189.8667,2653.8121
2018-09-21,145.2703,27.26,769.1929,63.134,116.5,291.71,4892.3926,188.5179,2652.0807
2018-09-24,145.129,26.98,769.1929,63.8,114.797,284.22,4780.1484,186.1381,2649.6651
2018-09-25,145.0404,26.92,769.1929,63.899,115.761,284.01,4807.6973,186.7195,2649.1595
2018-09-26,145.1397,26.95,769.1929,63.68,115.6,286.0,4837.2954,186.9043,2649.4567
2018-09-27,145.5014,26.67,769.1929,64.066,114.645,280.93,4729.1514,185.5714,2648.9914
2018-09-28,145.6347,26.57,769.1929,64.051,114.14,279.65,4622.6069,184.8812,2647.8135
2018-10-01,145.82,26.96,771.8098,64.088,114.955,277.59,4711.4526,184.7984,2648.2602
2018-10-03,145.7273,27.2,771.8098,64.346,113.615,275.12,4650.2056,183.7307,2646.9643
2018-10-04,145.5923,26.45,771.8174,64.6,110.796,271.03,4553.0605,182.4861,2645.0275
2018-10-05,145.947,23.69,771.8174,65.081,107.983,265.38,4407.2681,180.306,2642.0622
2018-10-08,146.0791,24.04,771.8174,65.585,108.05,262.2,4366.8706,179.0515,2641.4401
2018-10-09,145.9393,23.79,771.8174,64.614,107.779,260.95,4368.3203,178.6466,2640.9119
2018-10-10,145.9908,24.13,771.8174,63.548,109.47,270.15,4574.6094,180.8131,2643.4796
2018-10-11,146.0455,24.55,771.8174,60.408,107.007,263.22,4434.3169,178.7297,2641.4026
2018-10-12,146.0817,25.24,771.8174,63.828,109.583,268.7,4561.1602,180.1876,2643.9106
2018-10-15,146.2801,25.31,771.8174,61.208,109.985,270.02,4592.0586,180.9093,2644.2231
2018-10-16,146.3846,25.57,771.8174,60.397,110.616,273.47,4648.9053,181.7871,2645.4031
2018-10-17,146.3738,25.24,771.8174,61.62,109.32,267.66,4538.4111,180.6246,2644.0433
2018-10-19,146.4328,25.1,771.8098,61.036,107.443,265.14,4490.0142,179.4959,2643.2064
2018-10-22,146.5009,24.73,771.8174,62.197,107.15,263.84,4446.5659,178.9434,2642.6508
2018-10-23,146.5481,24.72,771.8098,61.251,106.213,260.54,4412.1182,178.0853,2641.9033
2018-10-24,146.6004,25.06,771.8098,60.984,107.044,260.12,4481.6143,178.296,2642.9315
2018-10-25,146.6004,25.03,771.8174,60.644,106.131,257.8,4462.1157,176.6995,2641.8073
2018-10-26,146.59,24.9,771.8174,60.691,105.019,257.99,4444.166,177.1035,2641.426
2018-10-29,146.7445,25.27,771.8098,58.093,107.167,263.02,4614.2075,178.541,2643.5012
2018-10-30,146.7452,24.88,771.8174,59.435,106.871,265.12,4653.1553,178.4259,2643.3049
2018-10-31,146.7339,24.97,774.5255,58.796,108.476,269.29,4730.6514,180.0627,2644.8745
2018-11-01,146.8128,25.03,774.5179,57.71,108.639,271.81,4758.25,180.955,2645.3479
2018-11-02,146.9597,25.37,774.5255,58.62,110.183,276.03,4781.2485,181.8419,2647.0132
2018-11-05,147.0216,24.92,774.5179,59.994,110.148,277.42,4765.9995,181.878,2646.6752
2018-11-06,147.0712,24.98,774.5255,58.727,110.218,275.55,4745.2007,180.9713,2646.4311
2018-11-07,,25.17,774.5413,59.041,110.983,285.7,4772.749,,
2018-11-09,147.2208,25.44,774.5179,58.964,110.822,278.48,4830.3462,182.0598,2647.3039
2018-11-12,147.2561,25.12,774.5255,56.764,109.764,275.44,4782.4985,181.2717,2646.1792
2018-11-13,147.3771,25.34,774.5179,49.775,110.784,275.03,4807.8472,181.1573,2647.2223
2018-11-14,147.492,25.8,774.5255,49.494,110.402,275.14,4801.3975,181.2585,2647.3501
2018-11-15,147.5302,25.6,774.5255,49.336,110.794,277.84,4833.396,181.7463,2647.7129
2018-11-16,147.4611,25.19,774.5255,46.912,111.496,277.65,4806.6973,182.5086,2648.3642
2018-11-19,147.5923,25.18,774.5255,48.802,112.24,280.0,4840.4458,182.8777,2648.9405
2018-11-20,147.635,24.97,774.5255,48.013,111.528,276.83,4786.4487,181.3903,2647.8812
2018-11-21,,24.95,774.5179,47.28,110.702,278.0,4835.3457,230.4666,233.0031
2018-11-22,147.8603,24.59,774.5255,46.989,110.338,276.57,4779.8486,181.64,2647.1713
2018-11-26,147.9388,24.21,774.5179,46.527,111.324,276.7,4791.8481,181.9687,2647.9005
2018-11-27,147.9633,24.24,774.5179,46.619,111.602,276.75,4813.4971,182.3396,2648.4405
2018-11-28,148.1433,23.58,774.5255,47.192,111.959,276.9,4740.6509,182.4454,2648.1177
2018-11-29,148.2735,23.3,774.5255,47.669,113.552,277.58,4760.9995,183.3251,2649.1186
2018-11-30,148.3579,22.95,777.1823,47.398,113.508,280.37,4779.7485,184.0627,2649.5901
2018-12-03,148.4128,23.48,777.1745,48.589,113.799,281.5,4815.6465,184.4006,2649.9784
2018-12-04,148.5429,23.61,777.1745,48.576,113.617,280.39,4795.248,184.2655,2649.9395
2018-12-05,148.846,23.18,777.1745,47.594,112.644,277.61,4706.3022,182.9082,2648.8942
2018-12-06,149.0535,22.74,777.1823,46.629,111.017,273.02,4620.707,181.9696,2647.1105
2018-12-07,149.0015,22.5,777.1745,47.399,111.918,273.95,4630.6064,182.3502,2647.9506
2018-12-10,148.7642,22.32,777.1823,46.496,109.883,269.39,4552.4106,180.7303,2646.0392
2018-12-11,148.8009,22.49,777.1745,47.448,110.585,273.69,4634.2065,181.7399,2646.8936
2018-12-12,149.0278,22.92,777.1745,48.09,112.169,278.92,4753.25,183.5548,2649.0315
2018-12-13,149.0154,23.05,777.1823,47.606,112.549,282.1,4772.3989,184.5003,2649.8028
2018-12-14,148.9564,23.48,777.1823,47.187,112.652,283.45,4791.748,184.5883,2650.1399
2018-12-17,149.0283,23.79,777.1823,46.804,113.639,284.29,4824.3965,184.9841,2651.0308
2018-12-18,149.195,24.01,777.1823,45.5,113.911,285.49,4846.6953,185.0209,2651.371
2018-12-19,149.5278,24.19,777.1823,45.015,114.54,289.61,4929.0405,186.2608,2652.2742
2018-12-20,149.5464,24.35,777.1823,44.442,114.525,289.16,4944.8403,185.7417,2652.0748
2018-12-21,149.563,24.32,777.1823,42.705,112.597,285.5,4844.4453,184.5276,2650.5644
2018-12-24,149.6544,24.02,777.1823,42.423,111.837,281.37,4815.6465,183.2188,2649.2573
2018-12-26,149.8596,24.05,777.1823,41.611,112.382,282.0,4825.6963,183.3245,2649.8615
2018-12-27,149.9247,24.09,777.1823,43.206,112.983,281.98,4853.6445,184.1438,2649.5663
2018-12-28,149.7844,24.47,777.1745,43.786,113.571,285.9,4911.6416,184.9628,2650.5151
2018-12-31,149.9206,24.41,779.9398,43.819,113.675,287.18,4930.6909,185.3308,2650.5593
2019-01-01,149.8452,24.38,779.9479,44.452,113.984,286.47,,185.3487,2650.9145
2019-01-02,149.9431,24.1,779.9479,43.144,112.973,283.0,4859.7944,184.6399,2649.4855
2019-01-03,149.8859,23.77,779.9479,43.084,111.835,281.92,4805.7476,184.1378,2648.4592
2019-01-04,149.8954,24.01,779.9479,43.37,112.491,282.55,4847.4453,183.7121,2648.9665
2019-01-07,149.9279,24.11,779.9398,44.224,112.562,282.21,4848.895,184.2248,2649.2774
2019-01-08,150.0955,24.12,779.9479,44.992,112.857,281.75,4862.2441,184.3385,2649.6238
2019-01-09,150.1373,23.93,779.9479,45.8,113.263,281.0,4862.8442,184.6853,2650.2322
2019-01-10,150.1803,23.87,779.9479,44.927,113.248,282.33,4880.3936,185.0714,2650.1471
2019-01-11,150.2791,23.97,779.9479,45.432,112.687,282.11,4875.4438,185.0386,2650.1296
2019-01-14,150.456,23.81,779.9398,45.515,112.167,280.34,4858.8447,184.5567,2649.525
2019-01-15,150.4854,24.01,779.9479,45.431,113.599,281.34,4894.8428,184.8602,2650.5228
2019-01-16,150.4555,24.05,779.9479,46.411,114.127,282.28,4889.8926,185.1166,2650.2819
2019-01-17,150.4768,24.04,779.9479,46.601,114.148,281.05,4875.3438,185.1642,2650.2255
2019-01-18,150.4759,24.0,779.9479,47.21,113.833,279.27,4853.0444,184.4154,2649.7016
2019-01-21,150.3954,23.77,779.9479,47.499,114.478,278.34,4828.0459,184.3558,2649.6708
